Changed database context to 'HQT_BanChuan'.
bronze Bronze_StockWriteOffLine sys_updated_at datetime YES
bronze Bronze_StockWriteOffLine is_deleted bit YES
bronze Bronze_Supplier SupplierId varchar NO
bronze Bronze_Supplier SupplierName nvarchar YES
bronze Bronze_Supplier Email varchar YES
bronze Bronze_Supplier Address nvarchar YES
bronze Bronze_Supplier sys_created_at datetime YES
bronze Bronze_Supplier sys_updated_at datetime YES
bronze Bronze_Supplier is_deleted bit YES
bronze Bronze_Unit UnitId nvarchar YES
bronze Bronze_Unit UnitName nvarchar YES
bronze Bronze_Unit sys_created_at datetime YES
bronze Bronze_Unit sys_source_system nvarchar YES
dbo ETL_Metadata Id int NO
dbo ETL_Metadata SourceTable nvarchar NO
dbo ETL_Metadata TargetTable nvarchar NO
dbo ETL_Metadata PrimaryKeys nvarchar NO
dbo ETL_Metadata DeltaColumn nvarchar NO
dbo ETL_Metadata IsActive bit YES
dbo sysdiagrams name nvarchar NO
dbo sysdiagrams principal_id int NO
dbo sysdiagrams diagram_id int NO
dbo sysdiagrams version int YES
dbo sysdiagrams definition varbinary YES
gold Dim_Customer CustomerKey nvarchar NO
gold Dim_Customer CustomerName nvarchar NO
gold Dim_Customer Phone nvarchar YES
gold Dim_Customer Gender nvarchar YES
gold Dim_Customer TotalSpent decimal NO
gold Dim_Customer CustomerCreatedAt datetime2 NO
gold Dim_Date DateKey int NO
gold Dim_Date FullDate datetime NO
gold Dim_Date DayOfWeek int NO
gold Dim_Date DayOfMonth int NO
gold Dim_Date Month int NO
gold Dim_Date Quarter int NO
gold Dim_Date Year int NO
gold Dim_Date Hour int NO
gold Dim_Employee EmployeeKey nvarchar NO
gold Dim_Employee FullName nvarchar NO
gold Dim_Employee Phone nvarchar YES
gold Dim_Employee Email nvarchar NO
gold Dim_Employee RoleName nvarchar NO
gold Dim_Employee IsActive bit YES
gold Dim_Product ProductKey nvarchar NO
gold Dim_Product ProductName nvarchar NO
gold Dim_Product ProductType nvarchar NO
gold Dim_Product CategoryName nvarchar YES
gold Dim_Product ManufacturerName nvarchar YES
gold Dim_Product Country nvarchar YES
gold Dim_Product UnitName nvarchar NO
gold Dim_Product DrugRegistrationCode nvarchar YES
gold Dim_Product MinStock int NO
gold Dim_Product abcclass nvarchar YES
gold Dim_Product xyzclass nvarchar YES
gold Dim_Supplier SupplierKey nvarchar NO
gold Dim_Supplier SupplierName nvarchar NO
gold Dim_Supplier Address nvarchar YES
gold Fact_Inventory_Snapshot InventoryFactId int NO
gold Fact_Inventory_Snapshot BatchId nvarchar NO
gold Fact_Inventory_Snapshot ProductKey nvarchar NO
gold Fact_Inventory_Snapshot SupplierKey nvarchar NO
gold Fact_Inventory_Snapshot BatchDateKey int NO
gold Fact_Inventory_Snapshot InitialQty int NO
gold Fact_Inventory_Snapshot CurrentQty int NO
gold Fact_Inventory_Snapshot ImportPrice decimal NO
gold Fact_Inventory_Snapshot DaysToExpiry int NO
gold Fact_Inventory_Snapshot IsNearExpiry bit NO
gold Fact_Inventory_Snapshot IsLowStock bit NO
gold Fact_Purchases PurchaseFactId int NO
gold Fact_Purchases ReceiptId nvarchar NO
gold Fact_Purchases ProductKey nvarchar NO
gold Fact_Purchases SupplierKey nvarchar NO
gold Fact_Purchases EmployeeKey nvarchar NO
gold Fact_Purchases ReceiptDateKey int NO
gold Fact_Purchases QuantityPurchased int NO
gold Fact_Purchases UnitCost decimal NO
gold Fact_Purchases TotalPurchaseCost decimal NO
gold Fact_Sales SalesFactId int NO
gold Fact_Sales InvoiceId nvarchar NO
gold Fact_Sales ProductKey nvarchar NO
gold Fact_Sales CustomerKey nvarchar NO
gold Fact_Sales EmployeeKey nvarchar NO
gold Fact_Sales InvoiceDateKey int NO
gold Fact_Sales QuantitySold int NO
gold Fact_Sales UnitPrice decimal NO
gold Fact_Sales GrossRevenue decimal NO
gold Fact_Sales CostPriceSnapshot decimal NO
gold Fact_Sales GrossProfit decimal NO
gold Fact_Stock_Loss LossFactId int NO
gold Fact_Stock_Loss WriteOffId nvarchar NO
gold Fact_Stock_Loss ProductKey nvarchar NO
gold Fact_Stock_Loss EmployeeKey nvarchar NO
gold Fact_Stock_Loss WriteOffDateKey int NO
gold Fact_Stock_Loss QuantityWrittenOff int NO
gold Fact_Stock_Loss UnitCost decimal NO
gold Fact_Stock_Loss TotalLossAmount decimal NO
silver Customer CustomerId varchar NO
silver Customer CustomerName nvarchar NO
silver Customer Phone varchar YES
silver Customer Gender nvarchar YES
silver Customer TotalSpent decimal NO
silver Customer CreatedAt datetime2 NO
silver Customer sys_updated_at datetime YES
silver Employee EmployeeId varchar NO
silver Employee FullName nvarchar NO
silver Employee Phone varchar YES
silver Employee Email varchar NO
silver Employee Username varchar NO
silver Employee PasswordHash varchar NO
silver Employee RoleId varchar NO
silver Employee IsActive bit NO
silver Employee IsRoot bit NO
silver Employee HireDate date YES
silver Employee CreatedAt datetime2 NO
silver Employee sys_updated_at datetime YES
silver InventoryAlert AlertId varchar NO
silver InventoryAlert MedicineId varchar NO
silver InventoryAlert AlertType nvarchar NO
silver InventoryAlert StockSnapshot int NO
silver InventoryAlert MinStock int NO
silver InventoryAlert Note nvarchar YES
silver InventoryAlert Status nvarchar NO
silver InventoryAlert CreatedBy varchar YES
silver InventoryAlert CreatedAt datetime2 NO
silver InventoryAlert ResolvedBy varchar YES
silver InventoryAlert ResolvedAt datetime2 YES
silver InventoryAlert ResolutionType nvarchar YES
silver InventoryAlert ResolutionNote nvarchar YES
silver InventoryAlert sys_updated_at datetime YES
silver Manufacturer ManufacturerId varchar NO
silver Manufacturer ManufacturerName nvarchar NO
silver Manufacturer Country nvarchar YES
silver Manufacturer sys_updated_at datetime YES
silver Manufacturer sys_created_at datetime YES
silver Manufacturer is_deleted bit YES
silver Medicine MedicineId varchar NO
silver Medicine MedicineName nvarchar NO
silver Medicine CategoryId varchar YES
silver Medicine UnitId varchar NO
silver Medicine ManufacturerId varchar YES
silver Medicine ProductType nvarchar NO
silver Medicine DrugRegistrationCode nvarchar YES
silver Medicine ListPrice decimal NO
silver Medicine MinStock int NO
silver Medicine IsActive bit NO
silver Medicine Ingredient nvarchar YES
silver Medicine Usage nvarchar YES
silver Medicine Dosage nvarchar YES
silver Medicine Route nvarchar YES
silver Medicine CreatedAt datetime2 NO
silver Medicine UpdatedAt datetime2 NO
silver Medicine sys_updated_at datetime YES
silver MedicineBatch BatchId varchar NO
silver MedicineBatch MedicineId varchar NO
silver MedicineBatch ImportPrice decimal NO
silver MedicineBatch ImportDate date NO
silver MedicineBatch ExpiryDate date NO
silver MedicineBatch InitialQty int NO
silver MedicineBatch CurrentQty int NO
silver MedicineBatch SupplierId varchar YES
silver MedicineBatch ManufacturerId varchar YES
silver MedicineBatch Note nvarchar YES
silver MedicineBatch sys_updated_at datetime YES
silver MedicineCategory CategoryId varchar NO
silver MedicineCategory CategoryName nvarchar NO
silver MedicineCategory Description nvarchar YES
silver MedicineCategory sys_updated_at datetime YES
silver Notification NotificationId varchar NO
silver Notification TargetRoleId varchar YES
silver Notification TargetEmployeeId varchar YES
silver Notification Message nvarchar NO
silver Notification IsRead bit NO
silver Notification CreatedAt datetime2 NO
silver Notification sys_updated_at datetime YES
silver PurchaseReceipt ReceiptId varchar NO
silver PurchaseReceipt SupplierId varchar NO
silver PurchaseReceipt EmployeeId varchar NO
silver PurchaseReceipt ReceiptDate datetime2 NO
silver PurchaseReceipt TotalAmount decimal NO
silver PurchaseReceipt Status nvarchar NO
silver PurchaseReceipt Note nvarchar YES
silver PurchaseReceipt sys_updated_at datetime YES
silver PurchaseReceiptLine LineId varchar NO
silver PurchaseReceiptLine ReceiptId varchar NO
silver PurchaseReceiptLine MedicineId varchar NO
silver PurchaseReceiptLine BatchId varchar NO
silver PurchaseReceiptLine Quantity int NO
silver PurchaseReceiptLine UnitCost decimal NO
silver PurchaseReceiptLine LineTotal decimal NO
silver PurchaseReceiptLine sys_updated_at datetime YES
silver Role RoleId varchar NO
silver Role RoleName nvarchar NO
silver Role Description nvarchar YES
silver Role sys_updated_at datetime YES
silver SalesInvoice InvoiceId varchar NO
silver SalesInvoice EmployeeId varchar NO
silver SalesInvoice CustomerId varchar NO
silver SalesInvoice CustomerNameSnapshot nvarchar NO
silver SalesInvoice PhoneSnapshot varchar YES
silver SalesInvoice InvoiceDate datetime2 NO
silver SalesInvoice TotalAmount decimal NO
silver SalesInvoice Status nvarchar NO
silver SalesInvoice Note nvarchar YES
silver SalesInvoice sys_updated_at datetime YES
silver SalesInvoiceLine LineId varchar NO
silver SalesInvoiceLine InvoiceId varchar NO
silver SalesInvoiceLine MedicineId varchar NO
silver SalesInvoiceLine BatchId varchar NO
silver SalesInvoiceLine MedicineNameSnapshot nvarchar NO
silver SalesInvoiceLine UnitNameSnapshot nvarchar NO
silver SalesInvoiceLine Quantity int NO
silver SalesInvoiceLine UnitPrice decimal NO
silver SalesInvoiceLine LineTotal decimal NO
silver SalesInvoiceLine CostPriceSnapshot decimal NO
silver SalesInvoiceLine sys_updated_at datetime YES
silver SalesReturn ReturnId varchar NO
silver SalesReturn InvoiceId varchar NO
silver SalesReturn EmployeeId varchar NO
silver SalesReturn ReturnDate datetime2 NO
silver SalesReturn TotalRefund decimal NO
silver SalesReturn Reason nvarchar YES
silver SalesReturn Status nvarchar NO
silver SalesReturn sys_updated_at datetime YES
silver SalesReturnLine LineId varchar NO
silver SalesReturnLine ReturnId varchar NO
silver SalesReturnLine InvoiceLineId varchar NO
silver SalesReturnLine Quantity int NO
silver SalesReturnLine RefundAmount decimal NO
silver SalesReturnLine Reason nvarchar YES
silver SalesReturnLine sys_updated_at datetime YES
silver StockWriteOff WriteOffId varchar NO
silver StockWriteOff EmployeeId varchar NO
silver StockWriteOff WriteOffDate datetime2 NO
silver StockWriteOff TotalCost decimal NO
silver StockWriteOff Reason nvarchar YES
silver StockWriteOff Status nvarchar NO
silver StockWriteOff sys_updated_at datetime YES
silver StockWriteOffLine LineId varchar NO
silver StockWriteOffLine WriteOffId varchar NO
silver StockWriteOffLine BatchId varchar NO
silver StockWriteOffLine MedicineId varchar NO
silver StockWriteOffLine Quantity int NO
silver StockWriteOffLine UnitCost decimal NO
silver StockWriteOffLine LineCost decimal NO
silver StockWriteOffLine Reason nvarchar YES
silver StockWriteOffLine sys_updated_at datetime YES
silver Supplier SupplierId varchar NO
silver Supplier SupplierName nvarchar NO
silver Supplier Email varchar YES
silver Supplier Address nvarchar YES
silver Supplier IsActive bit NO
silver Supplier sys_updated_at datetime YES
silver Unit UnitId varchar NO
silver Unit UnitName nvarchar NO
silver Unit sys_updated_at datetime YES

(441 rows affected)
